Date,Store ID,Product ID,Inventory Level,Units Sold,Price,Discount,Holiday/Promotion,month,day_of_week,is_weekend,day_of_month,cat__Clothing,cat__Electronics,cat__Furniture,cat__Groceries,cat__Toys,seasonality_encoded,units_sold_lag1,units_sold_lag7,units_sold_7d_avg,units_sold_14d_avg,discount_amount,price_advantage
2022-01-01,S001,P0001,231,127,33.5,20,0,1,5,1,1,False,False,False,True,False,2,0.0,0.0,0.0,0.0,6.7,-3.8099999999999987
2022-01-01,S001,P0002,204,150,63.01,20,0,1,5,1,1,False,False,False,False,True,2,0.0,0.0,88.83333333333333,140.0,12.602,3.1499999999999986
2022-01-01,S001,P0003,102,65,27.99,10,1,1,5,1,1,False,False,False,False,True,1,0.0,0.0,73.0,117.6923076923077,2.799,3.330000000000002
2022-01-01,S001,P0004,469,61,32.72,10,1,1,5,1,1,False,False,False,False,True,2,0.0,0.0,186.33333333333334,152.76923076923077,3.2720000000000002,2.020000000000003
2022-01-01,S001,P0005,166,14,73.64,0,0,1,5,1,1,False,True,False,False,False,1,0.0,0.0,170.33333333333334,133.3846153846154,0.0,-4.689999999999998
2022-01-01,S001,P0006,138,128,76.83,10,1,1,5,1,1,False,False,False,True,False,3,0.0,0.0,174.0,164.3846153846154,7.683,2.519999999999996
2022-01-01,S001,P0007,359,97,34.16,10,1,1,5,1,1,False,False,True,False,False,3,0.0,0.0,72.66666666666667,111.38461538461539,3.416,2.3900000000000006
2022-01-01,S001,P0008,380,312,97.99,5,0,1,5,1,1,True,False,False,False,False,0,0.0,0.0,177.33333333333334,151.76923076923077,4.8995,2.1000000000000085
2022-01-01,S001,P0009,183,175,20.74,10,0,1,5,1,1,False,True,False,False,False,2,0.0,0.0,144.0,145.69230769230768,2.074,-3.0799999999999983
2022-01-01,S001,P0010,108,28,59.99,0,1,1,5,1,1,False,False,False,False,True,3,0.0,0.0,123.83333333333333,160.07692307692307,0.0,1.2199999999999989
2022-01-01,S001,P0011,258,150,58.53,10,1,1,5,1,1,False,False,True,False,False,0,0.0,0.0,117.0,143.69230769230768,5.853000000000001,2.8900000000000006
2022-01-01,S001,P0012,66,24,58.25,20,0,1,5,1,1,True,False,False,False,False,0,0.0,0.0,159.5,163.92307692307693,11.65,3.960000000000001
2022-01-01,S001,P0013,96,42,43.6,0,0,1,5,1,1,False,False,False,False,True,0,0.0,0.0,182.5,150.3846153846154,0.0,2.710000000000001
2022-01-01,S001,P0014,193,12,78.11,0,0,1,5,1,1,True,False,False,False,False,0,0.0,0.0,126.0,117.84615384615384,0.0,1.9500000000000028
2022-01-01,S001,P0015,379,369,92.99,15,0,1,5,1,1,True,False,False,False,False,3,0.0,0.0,124.83333333333333,150.3846153846154,13.9485,2.8100000000000023
2022-01-01,S001,P0016,363,255,21.9,5,1,1,5,1,1,False,True,False,False,False,2,0.0,0.0,76.5,99.84615384615384,1.095,-1.629999999999999
2022-01-01,S001,P0017,318,246,21.07,20,0,1,5,1,1,False,False,False,False,True,3,0.0,0.0,111.83333333333333,162.76923076923077,4.214,-4.580000000000002
2022-01-01,S001,P0018,241,151,19.57,5,0,1,5,1,1,True,False,False,False,False,2,0.0,0.0,119.0,127.6923076923077,0.9785,3.5599999999999987
2022-01-01,S001,P0019,352,257,73.28,10,0,1,5,1,1,True,False,False,False,False,3,0.0,0.0,84.16666666666667,71.6923076923077,7.328,3.980000000000004
2022-01-01,S001,P0020,274,99,30.24,5,0,1,5,1,1,False,False,False,False,True,0,0.0,0.0,109.33333333333333,133.76923076923077,1.512,-3.139999999999997
2022-01-01,S002,P0001,343,104,32.8,20,1,1,5,1,1,False,False,False,True,False,0,0.0,0.0,106.66666666666667,121.15384615384616,6.56,-2.019999999999996
