Product ID,Category,Inventory Level,Units Sold,Price,Discount,Demand Forecast,Inventory Gap,Days of Inventory,Inventory Status,Suggested Order,Competitor Pricing
P0001,Groceries,231,127,33.5,20,135.47,95.53,1.7,Overstock,0.0,29.69
P0002,Toys,204,150,63.01,20,144.04,59.96000000000001,1.4,Overstock,0.0,66.16
P0003,Toys,102,65,27.99,10,74.02,27.980000000000004,1.4,Overstock,0.0,31.32
P0004,Toys,469,61,32.72,10,62.18,406.82,7.5,Overstock,0.0,34.74
P0005,Electronics,166,14,73.64,0,9.26,156.74,17.9,Overstock,0.0,68.95
P0006,Groceries,138,128,76.83,10,139.82,-1.8199999999999932,1.0,Healthy,0.0,79.35
P0007,Furniture,359,97,34.16,10,108.92,250.07999999999998,3.3,Overstock,0.0,36.55
P0008,Clothing,380,312,97.99,5,329.73,50.26999999999998,1.2,Overstock,0.0,100.09
P0009,Electronics,183,175,20.74,10,174.15,8.849999999999994,1.1,Overstock,0.0,17.66
P0010,Toys,108,28,59.99,0,24.47,83.53,4.4,Overstock,0.0,61.21
P0011,Furniture,258,150,58.53,10,152.74,105.25999999999999,1.7,Overstock,0.0,61.42
P0012,Clothing,66,24,58.25,20,26.75,39.25,2.5,Overstock,0.0,62.21
P0013,Toys,96,42,43.6,0,41.46,54.54,2.3,Overstock,0.0,46.31
P0014,Clothing,193,12,78.11,0,6.8,186.2,28.4,Overstock,0.0,80.06
P0015,Clothing,379,369,92.99,15,363.46,15.54000000000002,1.0,Healthy,0.0,95.8
P0016,Electronics,363,255,21.9,5,255.74,107.25999999999999,1.4,Overstock,0.0,20.27
P0017,Toys,318,246,21.07,20,255.37,62.629999999999995,1.2,Overstock,0.0,16.49
P0018,Clothing,241,151,19.57,5,147.27,93.72999999999999,1.6,Overstock,0.0,23.13
P0019,Clothing,352,257,73.28,10,267.38,84.62,1.3,Overstock,0.0,77.26
P0020,Toys,274,99,30.24,5,115.23,158.76999999999998,2.4,Overstock,0.0,27.1
P0001,Groceries,343,104,32.8,20,112.55,230.45,3.0,Overstock,0.0,30.78
P0002,Clothing,373,141,46.16,10,135.62,237.38,2.8,Overstock,0.0,45.21
P0003,Furniture,445,182,20.46,20,176.31,268.69,2.5,Overstock,0.0,22.0
P0004,Toys,191,63,26.19,0,54.57,136.43,3.5,Overstock,0.0,28.06
